timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-12-15T23:04:33.737427,20,20,3,129,0,0,0,0,0,100,50,100,0,0,
2025-12-15T23:04:34.735616,30,35,0,31,0,50,98.7,0,0,100,50,100,1,0,Focus on proper chest compressions
2025-12-15T23:04:35.732348,40,50,100,171,0,50,72.2,0,0,100,50,100,1,0,Focus on proper chest compressions
2025-12-15T23:04:37.738101,60,31,26,145,0,50,56.4,0,0,40,42,85,4,0,Focus on proper chest compressions
2025-12-15T23:04:38.726802,70,38,50,153,0,50,53.7,13.84718656004695,58,40,43,85,5,0,Focus on proper chest compressions
2025-12-15T23:04:39.746328,80,45,100,168,0,50,79.5,9.118316320821432,48,40,41,85,5,0,Focus on proper chest compressions
2025-12-15T23:04:40.740389,90,38,58,178,0,50,63.8,14.112480741738352,58,40,34,67,7,0,Focus on proper chest compressions
2025-12-15T23:04:41.738499,100,31,0,124,0,50,432.7,10.57385633925605,51,64,33,67,7,0,Focus on proper chest compressions
2025-12-15T23:04:42.736347,110,29,0,97,0,50,3730.5,11.0604465546634,52,55,29,57,8,0,Focus on proper chest compressions
2025-12-15T23:04:43.735575,120,43,100,167,0,50,51.0,11.450938126486339,53,40,29,58,9,0,Focus on proper chest compressions
2025-12-15T23:04:44.732994,130,30,0,124,0,50,13469.2,11.771359164368615,54,55,31,62,10,0,Focus on proper chest compressions
2025-12-15T23:04:45.727373,140,32,10,134,0,50,3208.1,12.048326545913945,54,61,33,66,11,0,Focus on proper chest compressions
2025-12-15T23:04:46.728869,150,35,16,138,22,50,631.2,9.996437685189395,50,73,29,58,11,0,Focus on proper chest compressions
2025-12-15T23:04:47.728636,160,37,61,158,0,50,190.1,10.34917032409244,51,52,24,50,12,0,Focus on proper chest compressions
2025-12-15T23:04:48.744305,170,27,0,113,0,50,466.3,10.630393413363215,51,40,25,50,13,0,Focus on proper chest compressions
2025-12-15T23:04:49.731741,180,28,0,77,0,50,145.5,11.412892494043746,53,52,26,52,14,0,Focus on proper chest compressions
2025-12-15T23:04:50.743390,190,36,48,151,0,50,59.3,16.14591284928107,62,40,30,59,16,0,Focus on proper chest compressions
2025-12-15T23:04:51.728535,200,39,55,180,0,50,46.9,16.381083297447812,63,52,34,68,16,0,Focus on proper chest compressions
2025-12-15T23:04:52.736704,210,44,100,165,0,50,301.0,19.20526018029001,68,40,26,52,17,0,Focus on proper chest compressions
2025-12-15T23:04:53.753661,220,44,100,169,0,50,46.5,18.939228315894972,68,40,27,55,17,0,Focus on proper chest compressions
2025-12-15T23:04:54.733222,230,44,100,172,0,50,45.4,19.029733156543543,68,40,22,50,17,0,Focus on proper chest compressions
