timestamp,frame_number,overall_score,arm_score,arm_angle,hand_position_score,depth_score,depth_cm,rate_score,rate_cpm,recoil_score,compression_ratio,ratio_score,compression_count,fatigue_level,feedback_given
2025-11-19T10:32:08.660087,170,20,0,52,0,0,0,0,0,100,50,100,0,0,
2025-11-19T10:32:21.543931,360,35,0,111,0,50,130.5,0,0,100,50,100,0,0,
2025-11-19T10:32:22.211228,370,30,0,125,0,50,48.9,0,9,46,50,100,2,0,
2025-11-19T10:32:22.852183,380,35,5,131,0,50,54.2,0,8,91,50,100,2,0,
2025-11-19T10:32:23.492274,390,34,0,121,0,50,52.1,0,8,85,50,100,2,0,
2025-11-19T10:32:24.153545,400,26,0,85,6,50,315.3,0,11,52,13,50,3,0,Lock your elbows straight
2025-11-19T10:32:24.847711,410,35,4,130,60,50,66.5,0,11,82,13,50,3,0,
2025-11-19T10:32:25.508027,420,27,0,32,0,50,77.8,0,11,70,9,50,3,0,
2025-11-19T10:32:26.765459,440,24,0,116,0,50,89.9,0,20,40,13,50,6,0,
2025-11-19T10:32:27.393360,450,27,0,113,0,50,77.1,0,19,67,16,50,6,0,
2025-11-19T10:32:28.018072,460,32,0,117,80,50,62.2,0,21,40,19,50,7,0,
2025-11-19T10:32:28.680283,470,36,0,126,100,50,62.4,0,21,55,17,50,7,0,
2025-11-19T10:32:29.312032,480,29,0,116,0,50,71.9,0,20,94,15,50,7,0,
2025-11-19T10:32:29.992478,490,30,23,143,0,50,84.9,0,22,64,23,50,8,0,
2025-11-19T10:32:30.645046,500,28,0,124,0,50,96.6,0,22,76,21,50,8,0,Lock your elbows straight
2025-11-19T10:32:31.273490,510,34,0,109,80,50,63.9,0,24,58,18,50,9,0,
2025-11-19T10:32:31.915340,520,40,0,103,100,50,51.1,14.877599761737358,60,58,20,50,10,0,
2025-11-19T10:32:32.575218,530,32,23,143,0,50,56.1,14.886446858780172,60,52,25,51,10,0,
2025-11-19T10:32:33.232244,540,30,0,110,0,50,54.3,17.80708890080966,66,40,36,70,11,0,
2025-11-19T10:32:33.877523,550,31,0,96,0,50,54.9,17.802463554215734,66,49,36,70,11,0,
2025-11-19T10:32:34.524192,560,38,18,140,0,50,421.7,17.855547901004968,66,85,34,69,11,0,
2025-11-19T10:32:35.157697,570,33,0,66,0,50,40.7,20.832918274574396,72,40,40,85,12,0,
2025-11-19T10:32:35.773183,580,34,0,113,5,50,41.6,23.472080963742258,77,40,41,85,13,0,
2025-11-19T10:32:36.385265,590,33,0,28,0,50,44.8,24.770956356942378,80,46,39,70,13,0,
2025-11-19T10:32:37.008117,600,48,25,144,0,50,54.9,75.3842383167699,92,40,34,69,15,0,CPR technique needs better arm position.
2025-11-19T10:32:37.639205,610,52,48,151,3,50,44.4,73.60887696647109,91,40,38,70,15,0,
2025-11-19T10:32:38.299073,620,52,3,129,20,50,34.7,91.87063106621353,97,46,39,70,16,0,
2025-11-19T10:32:38.929911,630,53,0,117,7,50,30.5,100,103,55,37,70,17,0,
2025-11-19T10:32:39.542474,640,54,0,117,12,50,31.7,100,110,40,41,85,18,0,
2025-11-19T10:32:40.159080,650,63,58,156,0,50,89.4,100,108,40,45,100,18,0,
